iri	status	name	description	code	scheme
:LE_9097	im:CM_ActiveStatus	Princess Royal Hospital		LE_9097	:TermBasedCode
:LE_9098	im:CM_ActiveStatus	Private Hospital		LE_9098	:TermBasedCode
:LE_9099	im:CM_ActiveStatus	Private Hospital/consultant		LE_9099	:TermBasedCode
:LE_91	im:CM_ActiveStatus	Administrative, Face to face		LE_91	:TermBasedCode
:LE_910	im:CM_ActiveStatus	Report From Other Sources		LE_910	:TermBasedCode
:LE_9100	im:CM_ActiveStatus	Private Hospitals - Sarum Road Hospital		LE_9100	:TermBasedCode
:LE_9101	im:CM_ActiveStatus	Private Hospitals - Wessex Nuffield Private Hospital - TRAUMA  ORTHOPAEDICS		LE_9101	:TermBasedCode
:LE_9102	im:CM_ActiveStatus	Private Hospitals / Sarum Road Hospital/US ABDOMEN		LE_9102	:TermBasedCode
:LE_9103	im:CM_ActiveStatus	Private Hospitals / Spire Southampton Hospital / RHEUMATOLOGY		LE_9103	:TermBasedCode
:LE_9104	im:CM_ActiveStatus	Qe2 Hospital Wgc		LE_9104	:TermBasedCode
:LE_9105	im:CM_ActiveStatus	queen charlottes  chelsea hospital		LE_9105	:TermBasedCode
:LE_9106	im:CM_ActiveStatus	Queen Elizabeth Hospital		LE_9106	:TermBasedCode
:LE_9107	im:CM_ActiveStatus	Redcar Primary Care Hospital		LE_9107	:TermBasedCode
:LE_9108	im:CM_ActiveStatus	Ripon Hospital		LE_9108	:TermBasedCode
:LE_9109	im:CM_ActiveStatus	Roding Hospital		LE_9109	:TermBasedCode
:LE_911	im:CM_ActiveStatus	Report generated		LE_911	:TermBasedCode
:LE_9110	im:CM_ActiveStatus	Ross Community Hospital		LE_9110	:TermBasedCode
:LE_9111	im:CM_ActiveStatus	ROYAL BOLTON HOSPITAL		LE_9111	:TermBasedCode
:LE_9112	im:CM_ActiveStatus	ROYAL BOLTON HOSPITAL - ENT		LE_9112	:TermBasedCode
:LE_9113	im:CM_ActiveStatus	ROYAL BOLTON HOSPITAL - G5 WARD		LE_9113	:TermBasedCode
:LE_9114	im:CM_ActiveStatus	ROYAL BOLTON HOSPITAL - PAEDIATRIC COMMUNITY NURSES		LE_9114	:TermBasedCode
:LE_9115	im:CM_ActiveStatus	Royal Brompton  Harefield Hospitals		LE_9115	:TermBasedCode
:LE_9116	im:CM_ActiveStatus	ROYAL CORNWALL HOSPITAL		LE_9116	:TermBasedCode
:LE_9117	im:CM_ActiveStatus	ROYAL CORNWALL HOSPITAL,ORTHOPAEDICS		LE_9117	:TermBasedCode
:LE_9118	im:CM_ActiveStatus	ROYAL CORNWALL HOSPITALS,ORTHOPAEDICS		LE_9118	:TermBasedCode
:LE_9119	im:CM_ActiveStatus	Royal Free Hospital		LE_9119	:TermBasedCode
:LE_912	im:CM_ActiveStatus	Report Received		LE_912	:TermBasedCode
:LE_9120	im:CM_ActiveStatus	ROYAL FREE HOSPITAL -		LE_9120	:TermBasedCode
:LE_9121	im:CM_ActiveStatus	Royal Free Hospital Hampstead		LE_9121	:TermBasedCode
:LE_9122	im:CM_ActiveStatus	Royal Hampshire County Hospital		LE_9122	:TermBasedCode
:LE_9123	im:CM_ActiveStatus	Royal Hampshire County Hospital - Colorectal Unit		LE_9123	:TermBasedCode
:LE_9124	im:CM_ActiveStatus	Royal Hampshire County Hospital - Dermatology Department		LE_9124	:TermBasedCode
:LE_9125	im:CM_ActiveStatus	Royal Hampshire County Hospital - Orthopaedics		LE_9125	:TermBasedCode
:LE_9126	im:CM_ActiveStatus	Royal Hampshire County Hospital - Orthopaedics (and Trauma)		LE_9126	:TermBasedCode
:LE_9127	im:CM_ActiveStatus	Royal Hampshire County Hospital - Paediatrics		LE_9127	:TermBasedCode
:LE_9128	im:CM_ActiveStatus	Royal Hampshire County Hospital - Physiotherapy		LE_9128	:TermBasedCode
:LE_9129	im:CM_ActiveStatus	Royal Hampshire County Hospital / Colorectal Unit		LE_9129	:TermBasedCode
:LE_913	im:CM_ActiveStatus	Report Result		LE_913	:TermBasedCode
:LE_9130	im:CM_ActiveStatus	Royal Hampshire County Hospital / Dermatology Department		LE_9130	:TermBasedCode
:LE_9131	im:CM_ActiveStatus	Royal Hampshire County Hospital / Gastroenterology / Colorectal Unit		LE_9131	:TermBasedCode
:LE_9132	im:CM_ActiveStatus	Royal Hampshire County Hospital / Obstetrics and Gynaecology		LE_9132	:TermBasedCode
:LE_9133	im:CM_ActiveStatus	Royal Hampshire County Hospital / Orthopaedic Unit		LE_9133	:TermBasedCode
:LE_9134	im:CM_ActiveStatus	Royal Hampshire County Hospital / Physiotherapy		LE_9134	:TermBasedCode
:LE_9135	im:CM_ActiveStatus	Royal Hampshire County Hospital / Psychiatry		LE_9135	:TermBasedCode
:LE_9136	im:CM_ActiveStatus	Royal Hampshire County Hospital MEDICAL IMAGING		LE_9136	:TermBasedCode
:LE_9137	im:CM_ActiveStatus	Royal Hampshire County Hospital- DISCHARGE		LE_9137	:TermBasedCode
:LE_9138	im:CM_ActiveStatus	Royal Hampshire County Hospital- TRATMENT CENTRE		LE_9138	:TermBasedCode
:LE_9139	im:CM_ActiveStatus	Royal Hospital School		LE_9139	:TermBasedCode
:LE_914	im:CM_ActiveStatus	Report Writing		LE_914	:TermBasedCode
:LE_9140	im:CM_ActiveStatus	Royal Hospitals Nhs Trust		LE_9140	:TermBasedCode
:LE_9141	im:CM_ActiveStatus	Royal Liverpool University Hospital		LE_9141	:TermBasedCode
:LE_9142	im:CM_ActiveStatus	royal manchester childrens hospital		LE_9142	:TermBasedCode
:LE_9143	im:CM_ActiveStatus	Royal Marsden Hospital		LE_9143	:TermBasedCode
:LE_9144	im:CM_ActiveStatus	Royal National Ent Hospital		LE_9144	:TermBasedCode
:LE_9145	im:CM_ActiveStatus	Royal National Orthopaedic Hospital		LE_9145	:TermBasedCode
:LE_9146	im:CM_ActiveStatus	Royal Oldham Hospital		LE_9146	:TermBasedCode
:LE_9147	im:CM_ActiveStatus	Royal Orthopaedic Hospital		LE_9147	:TermBasedCode
:LE_9148	im:CM_ActiveStatus	Royal Preston Hospital		LE_9148	:TermBasedCode
:LE_9149	im:CM_ActiveStatus	Royal SouthHamps Hospital		LE_9149	:TermBasedCode
:LE_915	im:CM_ActiveStatus	Report, Letter, Fax		LE_915	:TermBasedCode
:LE_9150	im:CM_ActiveStatus	Royal Surrey County Hospital		LE_9150	:TermBasedCode
:LE_9151	im:CM_ActiveStatus	Royal Victoria Infirmary, Hospital		LE_9151	:TermBasedCode
:LE_9152	im:CM_ActiveStatus	Saffron Walden Community Hospital		LE_9152	:TermBasedCode
:LE_9153	im:CM_ActiveStatus	Salisbury District Hospital		LE_9153	:TermBasedCode
:LE_9154	im:CM_ActiveStatus	Sandwell General Hospital		LE_9154	:TermBasedCode
:LE_9155	im:CM_ActiveStatus	Sarum Road Hospital		LE_9155	:TermBasedCode
:LE_9156	im:CM_ActiveStatus	Sarum Road Private Hospital - CARDIOLOGY		LE_9156	:TermBasedCode
:LE_9157	im:CM_ActiveStatus	Sarum Road Private Hospital - TRAUMA  ORTHOPAEDICS		LE_9157	:TermBasedCode
:LE_9158	im:CM_ActiveStatus	Seacroft Hospital		LE_9158	:TermBasedCode
:LE_9159	im:CM_ActiveStatus	Seen in hospital casualty		LE_9159	:TermBasedCode
:LE_916	im:CM_ActiveStatus	Report/date Received (Paper/fax/phone)		LE_916	:TermBasedCode
:LE_9160	im:CM_ActiveStatus	Seen in hospital ward		LE_9160	:TermBasedCode
:LE_9161	im:CM_ActiveStatus	Somerset Nuffield Hospital		LE_9161	:TermBasedCode
:LE_9162	im:CM_ActiveStatus	South Petherton Hospital		LE_9162	:TermBasedCode
:LE_9163	im:CM_ActiveStatus	South Tyneside District Hospital		LE_9163	:TermBasedCode
:LE_9164	im:CM_ActiveStatus	Southampton University Hospital Trust - Eye Casualty		LE_9164	:TermBasedCode
:LE_9165	im:CM_ActiveStatus	Southampton University Hospitals NHS Trust		LE_9165	:TermBasedCode
:LE_9166	im:CM_ActiveStatus	SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST - PAEDIATRICS		LE_9166	:TermBasedCode
:LE_9167	im:CM_ActiveStatus	Southampton University Hospitals NHS Trust-Dermatology		LE_9167	:TermBasedCode
:LE_9168	im:CM_ActiveStatus	Southampton University Hospitals NHS Trust/Dermatology		LE_9168	:TermBasedCode
:LE_9169	im:CM_ActiveStatus	Southampton University Hospitals NHS Trust/EYE CASUALTY		LE_9169	:TermBasedCode
:LE_917	im:CM_ActiveStatus	Report/paperwork		LE_917	:TermBasedCode
:LE_9170	im:CM_ActiveStatus	Southampton University Hospitals NHS Trust/Eye Casulty		LE_9170	:TermBasedCode
:LE_9171	im:CM_ActiveStatus	Southend Hospital		LE_9171	:TermBasedCode
:LE_9172	im:CM_ActiveStatus	Southhampton General Hospital		LE_9172	:TermBasedCode
:LE_9173	im:CM_ActiveStatus	St Albans City Hospital		LE_9173	:TermBasedCode
:LE_9174	im:CM_ActiveStatus	St Albans City Hospital - Maple Unit		LE_9174	:TermBasedCode
:LE_9175	im:CM_ActiveStatus	st andrews centre broomfield hospital		LE_9175	:TermBasedCode
:LE_9176	im:CM_ActiveStatus	st andrews hospital		LE_9176	:TermBasedCode
:LE_9177	im:CM_ActiveStatus	st anns hospital		LE_9177	:TermBasedCode
:LE_9178	im:CM_ActiveStatus	St Barts Hospital		LE_9178	:TermBasedCode
:LE_9179	im:CM_ActiveStatus	st clements hospital		LE_9179	:TermBasedCode
:LE_918	im:CM_ActiveStatus	Response To Letter		LE_918	:TermBasedCode
:LE_9180	im:CM_ActiveStatus	St Georges Hospital		LE_9180	:TermBasedCode
:LE_9181	im:CM_ActiveStatus	st jamess hospital		LE_9181	:TermBasedCode
:LE_9182	im:CM_ActiveStatus	St Marks Hospital		LE_9182	:TermBasedCode
:LE_9183	im:CM_ActiveStatus	st marys hospital		LE_9183	:TermBasedCode
:LE_9184	im:CM_ActiveStatus	St Pancras Day-Hospital		LE_9184	:TermBasedCode
:LE_9185	im:CM_ActiveStatus	St Pancras Hospital		LE_9185	:TermBasedCode
:LE_9186	im:CM_ActiveStatus	st peters hospital		LE_9186	:TermBasedCode
:LE_9187	im:CM_ActiveStatus	St Richards Hospital		LE_9187	:TermBasedCode
:LE_9188	im:CM_ActiveStatus	St. Clements Hospital		LE_9188	:TermBasedCode
:LE_9189	im:CM_ActiveStatus	st. thomas hospital		LE_9189	:TermBasedCode
:LE_919	im:CM_ActiveStatus	Result		LE_919	:TermBasedCode
:LE_9190	im:CM_ActiveStatus	Stamford Hospital		LE_9190	:TermBasedCode
:LE_9191	im:CM_ActiveStatus	Stepping Hill Hospital		LE_9191	:TermBasedCode
:LE_9192	im:CM_ActiveStatus	Swaffham Community Hospital		LE_9192	:TermBasedCode
:LE_9193	im:CM_ActiveStatus	Swanage Hospital Day Casualty		LE_9193	:TermBasedCode
:LE_9194	im:CM_ActiveStatus	Swanage Hospital In Hours (Gp)		LE_9194	:TermBasedCode
:LE_9195	im:CM_ActiveStatus	Tarporley Cottage Hospital		LE_9195	:TermBasedCode
:LE_9196	im:CM_ActiveStatus	The Alexandra Hospital		LE_9196	:TermBasedCode
:LE_9197	im:CM_ActiveStatus	The Blackheath Hospital		LE_9197	:TermBasedCode
:LE_9198	im:CM_ActiveStatus	The Hillingdon Hospital		LE_9198	:TermBasedCode
:LE_9199	im:CM_ActiveStatus	The London Chest Hospital		LE_9199	:TermBasedCode
:LE_92	im:CM_ActiveStatus	Clinic note		LE_92	:TermBasedCode
:LE_920	im:CM_ActiveStatus	Results		LE_920	:TermBasedCode
:LE_9200	im:CM_ActiveStatus	The Middlesex Hospital		LE_9200	:TermBasedCode
:LE_9201	im:CM_ActiveStatus	The North West London Hospital		LE_9201	:TermBasedCode
:LE_9202	im:CM_ActiveStatus	The Portland Hospital		LE_9202	:TermBasedCode
:LE_9203	im:CM_ActiveStatus	The Princess Grace Hospital		LE_9203	:TermBasedCode
:LE_9204	im:CM_ActiveStatus	The Priory Hospital		LE_9204	:TermBasedCode
:LE_9205	im:CM_ActiveStatus	The Regency Hospital		LE_9205	:TermBasedCode
:LE_9206	im:CM_ActiveStatus	The Royal E N T Hospital		LE_9206	:TermBasedCode
:LE_9207	im:CM_ActiveStatus	The Royal Marsden Hospital		LE_9207	:TermBasedCode
:LE_9208	im:CM_ActiveStatus	the royal wolverhampton hospital - childrens services		LE_9208	:TermBasedCode
:LE_9209	im:CM_ActiveStatus	THE ROYAL WOLVERHAMPTON HOSPITAL - ENT Department		LE_9209	:TermBasedCode
:LE_921	im:CM_ActiveStatus	Results Only (other)		LE_921	:TermBasedCode
:LE_9210	im:CM_ActiveStatus	The Royal Wolverhampton Hospitals NHS Trust - dental		LE_9210	:TermBasedCode
:LE_9211	im:CM_ActiveStatus	The University College Hospital		LE_9211	:TermBasedCode
:LE_9212	im:CM_ActiveStatus	Thurrock Community Hospital		LE_9212	:TermBasedCode
:LE_9213	im:CM_ActiveStatus	Towers Hospital		LE_9213	:TermBasedCode
:LE_9214	im:CM_ActiveStatus	University Hospital Of North Staffs		LE_9214	:TermBasedCode
:LE_9215	im:CM_ActiveStatus	University Hospital Southampton NHS Foundation Trust / Eye Casualty		LE_9215	:TermBasedCode
:LE_9216	im:CM_ActiveStatus	University Hospital Southampton NHS Foundation Trust / Ophthalmology		LE_9216	:TermBasedCode
:LE_9217	im:CM_ActiveStatus	University Hospital Southampton NHS Foundation Trust DERMATOLOGY		LE_9217	:TermBasedCode
:LE_9218	im:CM_ActiveStatus	University Hospital Southampton NHS Foundation Trust- DERMATOLOGY		LE_9218	:TermBasedCode
:LE_9219	im:CM_ActiveStatus	University Hospital Southampton NHS Foundation Trust-Dermatology		LE_9219	:TermBasedCode
:LE_922	im:CM_ActiveStatus	Riccall Surgery		LE_922	:TermBasedCode
:LE_9220	im:CM_ActiveStatus	Victoria Hospital M.Injuries Dept.		LE_9220	:TermBasedCode
:LE_9221	im:CM_ActiveStatus	Watford General Hospital		LE_9221	:TermBasedCode
:LE_9222	im:CM_ActiveStatus	Watford General Hospital - Langley Ward		LE_9222	:TermBasedCode
:LE_9223	im:CM_ActiveStatus	West Berkshire Community Hospital		LE_9223	:TermBasedCode
:LE_9224	im:CM_ActiveStatus	WEST DORSET GENERAL HOSPITAL- MINOR INJURIES UNIT		LE_9224	:TermBasedCode
:LE_9225	im:CM_ActiveStatus	West Suffolk Hospital, Hospital		LE_9225	:TermBasedCode
:LE_9226	im:CM_ActiveStatus	Western Eye Hospital		LE_9226	:TermBasedCode
:LE_9227	im:CM_ActiveStatus	Weston Hospital		LE_9227	:TermBasedCode
:LE_9228	im:CM_ActiveStatus	Whipps Cross Hospital		LE_9228	:TermBasedCode
:LE_9229	im:CM_ActiveStatus	Whipps Cross University Hospital		LE_9229	:TermBasedCode
:LE_923	im:CM_ActiveStatus	Richmond Road Medical Centre		LE_923	:TermBasedCode
:LE_9230	im:CM_ActiveStatus	Whiston Hospital		LE_9230	:TermBasedCode
:LE_9231	im:CM_ActiveStatus	Whittington Hospital		LE_9231	:TermBasedCode
:LE_9232	im:CM_ActiveStatus	Winchester Hospital		LE_9232	:TermBasedCode
:LE_9233	im:CM_ActiveStatus	Wycombe Hospital		LE_9233	:TermBasedCode
:LE_9234	im:CM_ActiveStatus	Wythenshawe Hospital		LE_9234	:TermBasedCode
:LE_9235	im:CM_ActiveStatus	X-Ray Victoria Hospital		LE_9235	:TermBasedCode
:LE_9236	im:CM_ActiveStatus	Yeovil District Hospital		LE_9236	:TermBasedCode
:LE_9237	im:CM_ActiveStatus	York District Hospital Trust		LE_9237	:TermBasedCode
:LE_9238	im:CM_ActiveStatus	Z East Herts Hospital - Her		LE_9238	:TermBasedCode
:LE_9239	im:CM_ActiveStatus	Royal London Hospital - Mile End		LE_9239	:TermBasedCode
:LE_924	im:CM_ActiveStatus	Ringmer Surgery		LE_924	:TermBasedCode
:LE_9240	im:CM_ActiveStatus	Non-face to face		LE_9240	:TermBasedCode
:LE_9241	im:CM_ActiveStatus	St Bartholomews Hospital		LE_9241	:TermBasedCode
:LE_9242	im:CM_ActiveStatus	The London Independent Hospital		LE_9242	:TermBasedCode
:LE_9243	im:CM_ActiveStatus	Aberfeldy Practice Surgery Pod		LE_9243	:TermBasedCode
:LE_9244	im:CM_ActiveStatus	Correspondence		LE_9244	:TermBasedCode
:LE_9245	im:CM_ActiveStatus	Check Patient Address Returned Mail		LE_9245	:TermBasedCode
:LE_9246	im:CM_ActiveStatus	Clinical, Message via Reception		LE_9246	:TermBasedCode
:LE_9247	im:CM_ActiveStatus	Email Communication		LE_9247	:TermBasedCode
:LE_9248	im:CM_ActiveStatus	Email Received from GP		LE_9248	:TermBasedCode
:LE_9249	im:CM_ActiveStatus	Fax		LE_9249	:TermBasedCode
:LE_925	im:CM_ActiveStatus	Ritchie Street Group Practice		LE_925	:TermBasedCode
:LE_9250	im:CM_ActiveStatus	Incoming Mail		LE_9250	:TermBasedCode
:LE_9251	im:CM_ActiveStatus	Letter Correspondence		LE_9251	:TermBasedCode
:LE_9252	im:CM_ActiveStatus	London Diagnostic Service		LE_9252	:TermBasedCode
:LE_9253	im:CM_ActiveStatus	Message From Patient		LE_9253	:TermBasedCode
:LE_9254	im:CM_ActiveStatus	Message To Patient		LE_9254	:TermBasedCode
:LE_9255	im:CM_ActiveStatus	Outgoing Mail		LE_9255	:TermBasedCode
:LE_9256	im:CM_ActiveStatus	Post Received		LE_9256	:TermBasedCode
:LE_9257	im:CM_ActiveStatus	S/N - Email		LE_9257	:TermBasedCode
:LE_9258	im:CM_ActiveStatus	Client Related Discussion		LE_9258	:TermBasedCode
:LE_9259	im:CM_ActiveStatus	Community Matron Face-to-face Discussion		LE_9259	:TermBasedCode
:LE_926	im:CM_ActiveStatus	River Lodge Surgery		LE_926	:TermBasedCode
:LE_9260	im:CM_ActiveStatus	Discussion 3rd Party		LE_9260	:TermBasedCode
:LE_9261	im:CM_ActiveStatus	Gp Registrar Discussion With Trainer		LE_9261	:TermBasedCode
:LE_9262	im:CM_ActiveStatus	GP2GP Import, Contact method: Case Discussion- Harrow Road Surgery		LE_9262	:TermBasedCode
:LE_9263	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. ABNEY HOUSE MEDICAL CENTRE. Contact method: Discussion with colleague		LE_9263	:TermBasedCode
:LE_9264	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Bounds Green Group Practice. Contact method: Discussion with colleague		LE_9264	:TermBasedCode
:LE_9265	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Mitchison Road Surgery. Contact method: Discussion with colleague		LE_9265	:TermBasedCode
:LE_9266	im:CM_ActiveStatus	GP2GP Import, Healthcare related organisation. Somerford Grove Practice. Contact method: Discussion with colleague		LE_9266	:TermBasedCode
:LE_9267	im:CM_ActiveStatus	Msj Discussion With Nursing Staff		LE_9267	:TermBasedCode
:LE_9268	im:CM_ActiveStatus	On Discussion With Another Clinician		LE_9268	:TermBasedCode
:LE_9269	im:CM_ActiveStatus	Patient Related Discussion		LE_9269	:TermBasedCode
:LE_927	im:CM_ActiveStatus	Riverside Surgery		LE_927	:TermBasedCode
:LE_9270	im:CM_ActiveStatus	London Chest Hospital		LE_9270	:TermBasedCode
:LE_9271	im:CM_ActiveStatus	Abbey Road Pod		LE_9271	:TermBasedCode
:LE_9272	im:CM_ActiveStatus	Aberfeldly Surgery Pod		LE_9272	:TermBasedCode
:LE_9273	im:CM_ActiveStatus	Aberfeldy Surgery Pod		LE_9273	:TermBasedCode
:LE_9274	im:CM_ActiveStatus	Adelaide Medical Surgery Pod		LE_9274	:TermBasedCode
:LE_9275	im:CM_ActiveStatus	Alberfeldy Surgery Pod		LE_9275	:TermBasedCode
:LE_9276	im:CM_ActiveStatus	Amwell Practice Pod		LE_9276	:TermBasedCode
:LE_9277	im:CM_ActiveStatus	ANDOVER MEDICAL CENTER SURGERYPOD		LE_9277	:TermBasedCode
:LE_9278	im:CM_ActiveStatus	Andover Medical Centre Surgery Pod		LE_9278	:TermBasedCode
:LE_9279	im:CM_ActiveStatus	Archway Medical Centre Surgery Pod		LE_9279	:TermBasedCode
:LE_928	im:CM_ActiveStatus	Roade Surgery		LE_928	:TermBasedCode
:LE_9280	im:CM_ActiveStatus	Belsize Surgery Pod		LE_9280	:TermBasedCode
:LE_9281	im:CM_ActiveStatus	Bloomsbury Surgery Pod		LE_9281	:TermBasedCode
:LE_9282	im:CM_ActiveStatus	Brookfield Park Surgery Pod		LE_9282	:TermBasedCode
:LE_9283	im:CM_ActiveStatus	Cavendish Health Centre Surgery Pod		LE_9283	:TermBasedCode
:LE_9284	im:CM_ActiveStatus	Cholmley Gardens Surgery Pod		LE_9284	:TermBasedCode
:LE_9285	im:CM_ActiveStatus	City Road Medical Center Surgery Pod		LE_9285	:TermBasedCode
:LE_9286	im:CM_ActiveStatus	City Road Medical Centre Surgery Pod		LE_9286	:TermBasedCode
:LE_9287	im:CM_ActiveStatus	Contact method: Stroud Green Medical Clinic Surgery Pod		LE_9287	:TermBasedCode
:LE_9288	im:CM_ActiveStatus	Dartmouth Park Surgery Pod		LE_9288	:TermBasedCode
:LE_9289	im:CM_ActiveStatus	Dukes Avenue Surgery Pod		LE_9289	:TermBasedCode
:LE_929	im:CM_ActiveStatus	Roman Gate Surgery		LE_929	:TermBasedCode
:LE_9290	im:CM_ActiveStatus	Elgin Practice Surgery Pod		LE_9290	:TermBasedCode
:LE_9291	im:CM_ActiveStatus	Elizabeth Avenue Surgery Pod		LE_9291	:TermBasedCode
:LE_9292	im:CM_ActiveStatus	Goodinge Group Practice POD1		LE_9292	:TermBasedCode
:LE_9293	im:CM_ActiveStatus	Gower Place Surgery Pod		LE_9293	:TermBasedCode
:LE_9294	im:CM_ActiveStatus	Gower Street Surgery Pod		LE_9294	:TermBasedCode
:LE_9295	im:CM_ActiveStatus	GP2GP Import, Contact method: Hetherington Group Practice Surgery Pod		LE_9295	:TermBasedCode
:LE_9296	im:CM_ActiveStatus	GP2GP Import, Contact method: Rosslyn Hill Surgery Pod		LE_9296	:TermBasedCode
:LE_9297	im:CM_ActiveStatus	GP2GP Import, Contact method: Stroud Green Medical Clinic Surgery Pod		LE_9297	:TermBasedCode
:LE_9298	im:CM_ActiveStatus	GP2GP Import, Contact method: Touchscreen		LE_9298	:TermBasedCode
:LE_9299	im:CM_ActiveStatus	GP2GP Import, Contact method: Village Practice Surgery Pod		LE_9299	:TermBasedCode
:LE_93	im:CM_ActiveStatus	Administrative Entry		LE_93	:TermBasedCode
:LE_930	im:CM_ActiveStatus	Roman Way Medical Centre		LE_930	:TermBasedCode
:LE_9300	im:CM_ActiveStatus	Great Massingham Surgery Pod		LE_9300	:TermBasedCode
:LE_9301	im:CM_ActiveStatus	GROVE MEDICAL CENTER SURGERY POD		LE_9301	:TermBasedCode
:LE_9302	im:CM_ActiveStatus	Grove Medical Centre Surgery Pod		LE_9302	:TermBasedCode
:LE_9303	im:CM_ActiveStatus	Hampstead Group Practice Surgery Pod		LE_9303	:TermBasedCode
:LE_9304	im:CM_ActiveStatus	Heronsgate Surgery Pod		LE_9304	:TermBasedCode
:LE_9305	im:CM_ActiveStatus	Hetherington Group Practice Surgery Pod		LE_9305	:TermBasedCode
:LE_9306	im:CM_ActiveStatus	Highgate Practice Surgery Pod		LE_9306	:TermBasedCode
:LE_9307	im:CM_ActiveStatus	Hill View Surgery Pod		LE_9307	:TermBasedCode
:LE_9308	im:CM_ActiveStatus	Holborn Surgery Pod		LE_9308	:TermBasedCode
:LE_9309	im:CM_ActiveStatus	Holloway Medical Centre Surgery Pod		LE_9309	:TermBasedCode
:LE_931	im:CM_ActiveStatus	Romanway Medical Centre		LE_931	:TermBasedCode
:LE_9310	im:CM_ActiveStatus	Holmside Surgery Pod		LE_9310	:TermBasedCode
:LE_9311	im:CM_ActiveStatus	Huntingdon Medical Practice Surgery Pod		LE_9311	:TermBasedCode
:LE_9312	im:CM_ActiveStatus	Islington Central Medical Surgery Pod		LE_9312	:TermBasedCode
:LE_9313	im:CM_ActiveStatus	James Wigg Surgery Pod		LE_9313	:TermBasedCode
:LE_9314	im:CM_ActiveStatus	Killick Street Surgery Pod		LE_9314	:TermBasedCode
:LE_9315	im:CM_ActiveStatus	Lisson Grove Health Centre Surgery Pod		LE_9315	:TermBasedCode
:LE_9316	im:CM_ActiveStatus	LOWER CLAPTON HEALTH CENTER SURGERY POD		LE_9316	:TermBasedCode
:LE_9317	im:CM_ActiveStatus	NHS Non Hospital Based Services-Podiatry		LE_9317	:TermBasedCode
:LE_9318	im:CM_ActiveStatus	Northern Medical Centre Surgery Pod		LE_9318	:TermBasedCode
:LE_9319	im:CM_ActiveStatus	Outpatient Referral Restorative Dentistry Hypodontia New (outpatient)		LE_9319	:TermBasedCode
:LE_932	im:CM_ActiveStatus	Rope Green Medical Centre		LE_932	:TermBasedCode
:LE_9320	im:CM_ActiveStatus	Park End Surgery Pod		LE_9320	:TermBasedCode
:LE_9321	im:CM_ActiveStatus	Parliament Hill Surgery Pod		LE_9321	:TermBasedCode
:LE_9322	im:CM_ActiveStatus	POD 1st Clin Con		LE_9322	:TermBasedCode
:LE_9323	im:CM_ActiveStatus	Podiatry Head Office, Cherwell Vale PCT		LE_9323	:TermBasedCode
:LE_9324	im:CM_ActiveStatus	Primrose Hill Surgery Pod		LE_9324	:TermBasedCode
:LE_9325	im:CM_ActiveStatus	Prince Of Wales Surgery Pod		LE_9325	:TermBasedCode
:LE_9326	im:CM_ActiveStatus	Queens Road Surgery Pod		LE_9326	:TermBasedCode
:LE_9327	im:CM_ActiveStatus	Rise Group Practice Surgery Pod		LE_9327	:TermBasedCode
:LE_9328	im:CM_ActiveStatus	Ritchie Group Medical Practice Surgery Pod		LE_9328	:TermBasedCode
:LE_9329	im:CM_ActiveStatus	Rosslyn Hill Surgery Pod		LE_9329	:TermBasedCode
:LE_933	im:CM_ActiveStatus	Rosedale Surg		LE_933	:TermBasedCode
:LE_9330	im:CM_ActiveStatus	Somers Town Surgery Pod		LE_9330	:TermBasedCode
